structure_id;structure_nr;structure_name;structure_cs;structure_inspection_date;structure_construction_year;element_id;element_nr;element_name;element_type_nr;element_type_name;element_bauart_nr;element_bauart_name;element_cs;element_inspection_date;element_extent;element_extent_unit;element_construction_year;element_cost_relevant;structure_of_element_relevant;element_cs_approx;element_typ_general_nr;element_dmg_process;element_dmg_process_scenario;element_expected_lifetime;element_repair_amounts;element_iv_strategy;element_det_speed_increase;element_has_no_error;element_is_used
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;c9dddfd2-2791-ba49-b9b2-0e83df5ccee1;EN_1;Entretoise axe 1;3816;Querträger;1123;Stahlbetonkonstruktion;2;21.05.2019;46;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;bd9320c0-61aa-41c6-bb36-924784bfabed;RV;Revêtement;631;Deckschicht;221;Asphaltmischgut;2;22.05.2019;2160;m²;0;TRUE;TRUE;2;24;80;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;cb86f945-a658-3645-bb66-2079025dafa5;JC_VI;Joint côté Villars;401;Verformbare Fuge;\;andere Bauart;2;23.05.2019;13;m;0;TRUE;TRUE;2;19;60;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;06b76405-4d0d-4e29-b01a-7b9db38d7dd8;LO_CU_SM;Longrine St-Maurice;3811;Verankerte Mauer;1123;Stahlbetonkonstruktion;2;24.05.2019;1;m²;0;TRUE;TRUE;2;7;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;34ee5019-33ab-4943-8702-1735bbbed0d1;CU_SM;Culée côté St-Maurice;3101;Widerlager mit Kontrollgang;1123;Stahlbetonkonstruktion;2;25.05.2019;96;m²;0;TRUE;TRUE;2;5;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;18962d3e-d977-7e4a-9686-fcf7074362ff;EN_0;Entretoise axe 0;3816;Querträger;1123;Stahlbetonkonstruktion;2;26.05.2019;19;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;6a26119f-750b-914e-a11b-57aa84349a36;AME_CE;Ame centrale;3814;Steg;1123;Stahlbetonkonstruktion;2;27.05.2019;795;m²;0;TRUE;TRUE;2;10;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;2eb690f7-f028-524d-bd3a-c5bef8e17ba6;PA_CR;Parapet côté Crissier;660;Leitmauer;1121;Betonkonstruktion;2;28.05.2019;188;m²;0;TRUE;TRUE;2;16;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;4cc58233-8f3c-4add-8d8c-bce65cd6d44a;AP_VI_SU;Appui côté Villars Sullens;3911;Verformungslager;1202;Elastomerlager;2;29.05.2019;1;Stk;1964;TRUE;TRUE;2;18;70;neutral;20;2;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;34d21bea-4b9a-f44b-8c98-29fb17eff98c;PI_1;Pile axe 1;3221;Einzelpfeiler;1123;Stahlbetonkonstruktion;2;30.05.2019;220;m²;0;TRUE;TRUE;2;9;10;neutral;80;4;3;0.05;TRUE;TRUE
09125a8c-6474-db4f-8b16-a2dd96d2aec7;09P006-G;Pont sur La Sorge - Gauche;2;43601;1964;965128a0-0fbe-a741-963a-8752f8e47f01;CU_VI;Culée côté Villars St-Croix;3101;Widerlager mit Kontrollgang;1123;Stahlbetonkonstruktion;2;31.05.2019;75;m²;0;TRUE;TRUE;2;5;10;neutral;80;4;3;0.05;TRUE;TRUE
